model,MSE,RMSE,MAE,R2,bias_mu,resolution_sigma,n_dropped
ResNet_MLP,0.699439413817763,0.8363249451127014,0.47317185289782343,0.9947481114566407,-0.004656011888929358,0.02665443723960578,0
MLP_tuned,0.9788902859489736,0.9893888446657227,0.5333372779282317,0.9926497955699696,0.0020699791996995247,0.029825908379422433,0
CNN1D,4.169423776400653,2.0419166918365335,1.3970907537760953,0.9686930010933097,0.0006604613480007917,0.07343075196906856,0
MLP_deep,9.872404552127659,3.1420382798635123,2.2709117399217833,0.9258709656069833,0.006253984828298101,0.09051296922410601,0
GBR,15.052738522702649,3.879785886193032,3.024040132131043,0.8869733340275212,0.010455202533959537,0.1128922752382651,0
MLP_shallow,18.382312117968368,4.287459867796825,3.3379210846955405,0.8619725275619536,0.011197933220081405,0.12429624053079312,0
